0 4.846450 7.541940 6.225750 5.001797 7.464590 5.701135 0.681381 vertex 
1 0.288609 3.027480 6.880940 9.728548 2.867951 6.998278 0.860711 vertex 
2 4.649850 0.252965 8.795720 4.046924 0.135116 8.207070 1.127815 vertex 
3 5.651710 4.659010 0.267459 5.880944 4.971649 0.319660 0.391173 edge 
4 5.811510 0.964542 4.643520 5.294987 0.552971 4.514099 1.042326 vertex 
5 7.263530 1.148420 2.728280 7.017871 0.329846 3.111411 0.936590 edge 
6 7.638520 6.950830 2.751920 7.958338 6.917602 2.921532 0.725143 vertex 
7 8.415860 6.393850 6.224740 8.151487 6.250338 6.332095 0.319396 edge 
8 0.132332 8.758310 8.838490 9.462673 8.317805 8.339566 0.944147 edge 
9 8.431630 3.661730 6.923220 8.601539 3.099774 7.324020 0.710847 edge 
10 3.075750 7.481450 1.816630 2.819830 7.806382 2.175074 0.547319 edge 
11 8.738130 2.979210 6.257960 9.265438 3.135017 6.428679 0.575738 interior 
12 9.479330 8.693540 6.287940 9.827577 8.612691 6.248468 0.359681 interior 
13 1.964230 7.005450 2.357590 1.768271 7.121061 2.492148 0.264333 edge 
14 8.750000 9.986670 2.851650 8.186056 0.289804 3.094969 0.925994 vertex 
15 4.975760 3.194030 6.516790 5.388040 3.631782 6.964483 0.749654 edge 
16 2.163930 6.754710 9.951390 2.312890 6.512067 9.888367 0.291611 edge 
17 8.988940 0.049304 9.886050 9.163665 0.326054 9.792341 0.340441 interior 
18 8.149610 0.938841 4.116880 8.257627 0.667890 3.710787 0.499994 edge 
19 8.784210 1.962480 8.732080 8.948754 2.419006 8.684431 0.492101 vertex 
20 1.676020 5.418460 6.363590 1.154288 5.021117 6.225681 0.670153 edge 
21 1.052220 4.937930 6.616910 1.116218 4.641308 5.913096 0.766443 edge 
22 9.756370 0.638472 9.716340 9.791025 0.872580 0.129877 0.770460 vertex 
23 8.476700 8.369500 8.175740 9.405937 8.276584 8.248411 0.936694 edge 
24 4.659020 4.108910 5.872580 4.274769 3.718431 6.109482 0.596863 edge 
25 1.122440 5.051700 4.943840 0.992870 4.760038 5.048957 0.336013 interior 
26 0.192356 1.171840 0.312008 9.791025 0.872580 0.129877 0.770461 vertex 
27 2.888920 7.437410 2.973070 2.771811 7.788442 2.999901 0.371024 edge 
