id,px,py,pz,cx,cy,cz,lpes,type,R2,R1,R1_idx,R1-R2,R1-LPES,LPES-R2
1112,6.8832,2.05467,5.88888,6.845745,2.096811,5.695463,0.205723,interior,0.20146681313556358,0.19439049316883672,138.0,-0.007076319966726863,-0.01133250683116327,0.0042561868644364065
3055,6.75309,2.20047,5.90776,6.737641,2.361745,5.669344,0.293817,interior,0.28825420427462967,0.27159051206875207,138.0,-0.0166636922058776,-0.02222648793124793,0.005562795725370329
3495,7.25595,2.56387,6.55668,7.047488,2.665089,6.782648,0.322281,interior,0.32367148226094916,0.3222805880802302,132.0,-0.0013908941807189712,-4.119197697938226e-07,-0.0013904822609491774
4431,6.76382,2.56287,6.9682,7.020766,2.897167,6.93898,0.546899,vertex,0.4226458795788739,0.512185140909952,3.0,0.08953926133107815,-0.03471385909004798,0.12425312042112613
4478,7.1141,1.58074,6.05957,7.204831,1.366313,5.928335,0.258962,interior,0.2672707951030194,0.2811571548316598,132.0,0.01388635972864044,0.02219515483165979,-0.00830879510301935
5092,7.06313,1.45882,6.17151,7.258787,1.367935,6.072168,0.236254,interior,0.2375091110631336,0.25925682725108956,138.0,0.021747716187955957,0.02300282725108957,-0.0012551110631336126
5101,6.99239,2.50351,6.48186,6.924038,2.875894,6.663179,0.40135,interior,0.4197837766291121,0.40134880370738024,132.0,-0.01843497292173185,-1.1962926197428558e-06,-0.01843377662911211
6412,7.00224,2.54824,6.69507,7.020766,2.897167,6.93898,0.546899,vertex,0.42612832821228863,0.512185140909952,3.0,0.08605681269766341,-0.03471385909004798,0.12077067178771139
6563,7.19154,1.82026,6.48598,7.289705,1.773745,6.550229,0.12417,interior,0.1262059683652085,0.13129565778926633,138.0,0.005089689424057825,0.007125657789266326,-0.0020359683652085014
7809,6.672,2.63688,6.00969,6.685975,3.15963,6.312807,0.617715,vertex,0.6044359178721926,0.5736031742674561,33.0,-0.030832743604736534,-0.04411182573254391,0.013279082127807373
8214,6.99239,2.12969,6.95264,7.240953,2.321145,6.956605,0.312736,edge,0.3137742870583884,0.2967624461515086,138.0,-0.017011840906879794,-0.015973553848491417,-0.0010382870583883763
9370,6.53041,1.94154,5.66235,6.675296,2.197405,5.34439,0.451041,vertex,0.43307899143343376,0.436709261309838,192.0,0.0036302698764042463,-0.014331738690162021,0.017962008566566268
