id,px,py,pz,cx,cy,cz,lpes,type
0,4.846447,7.541937,6.225746,5.001797,7.464590,5.701135,0.681380,vertex
1,0.288609,3.027480,6.880935,9.728548,2.867951,6.998278,0.860711,vertex
2,4.649848,0.252965,8.795717,4.046924,10.135116,8.207070,1.127815,vertex
3,5.651713,4.659010,0.267459,5.880944,4.971651,10.319660,0.391173,edge_minus
4,5.811506,0.964542,4.643515,5.294987,0.552971,4.514099,1.042326,vertex
5,7.263531,1.148418,2.728284,7.017867,0.329844,3.111411,0.936590,edge_plus
6,7.638518,6.950826,2.751918,7.958338,6.917602,2.921532,0.725142,vertex
7,8.415859,6.393853,6.224743,8.151490,6.250341,6.332097,0.319393,edge_minus
8,0.132332,8.758306,8.838485,9.462669,8.317806,8.339565,0.944146,edge_minus
9,8.431635,3.661727,6.923223,8.601541,3.099766,7.324035,0.710857,edge_minus
10,3.075746,7.481451,1.816626,2.819834,7.806381,2.175074,0.547317,edge_plus
11,8.738129,2.979208,6.257962,9.265432,3.135018,6.428684,0.575735,interior_plus
12,9.479332,8.693537,6.287943,9.827578,8.612679,6.248481,0.359682,interior_minus
13,1.964230,7.005448,2.357593,1.768271,7.121061,2.492148,0.264332,edge_minus
14,8.749998,9.986666,2.851650,8.186056,0.289804,3.094969,0.925994,vertex
15,4.975760,3.194035,6.516795,5.387968,3.631781,6.964438,0.749614,edge_plus
16,2.163931,6.754706,9.951391,2.312889,6.512061,-0.111639,0.291613,edge_minus
17,8.988935,0.049304,9.886047,9.163659,0.326050,9.792336,0.340439,interior_minus
18,8.149613,0.938841,4.116881,8.257630,0.667895,3.710799,0.499982,edge_minus
19,8.784205,1.962485,8.732084,-1.051246,2.419006,8.684431,0.492100,vertex
20,1.676019,5.418460,6.363592,1.154288,5.021117,6.225681,0.670153,edge_minus
21,1.052221,4.937928,6.616911,1.116218,4.641308,5.913096,0.766443,edge_plus
22,9.756374,0.638472,9.716342,-0.208975,10.872580,0.129877,0.770459,vertex
23,8.476695,8.369503,8.175738,9.405930,8.276579,8.248400,0.936692,edge_plus
