id,px,py,pz,cx,cy,cz,r
694,13.826695,-41.710630,20.695579,12.816348,-42.228889,20.159536,1.588135
695,-51.417718,38.306963,33.388611,-52.678599,38.370130,33.371441,1.262579
696,-23.770302,20.774602,-52.683148,-24.549622,21.037490,-51.585398,1.382384
697,41.347588,21.114013,-17.996081,41.078204,21.634577,-17.647462,0.681975
698,-44.103315,-0.229633,-20.922231,-44.183247,-0.361552,-20.949850,0.156699
699,47.878838,25.824570,8.904350,47.059277,24.370242,9.793381,1.927463
700,-36.797887,-28.151304,-0.612065,-36.250705,-28.360075,-0.776201,0.608222
701,12.068334,-13.209556,37.017850,11.460349,-13.989892,36.848070,1.003691
702,-22.470496,-18.790781,36.442991,-22.742421,-18.000525,37.553931,1.390192
703,48.837217,-29.720957,21.322898,48.544777,-29.493001,22.129324,1.065519
704,38.913204,-51.436701,-27.080231,38.884092,-52.269307,-27.291637,0.859518
705,-27.112450,51.094094,-17.420223,-26.947806,51.658765,-17.523035,0.799071
706,44.787176,50.975082,-13.806174,45.140481,51.480108,-12.683006,1.635896
707,-34.433606,-42.373170,-9.086040,-33.751852,-42.202973,-10.669807,1.732650
