id,px,py,pz,cx,cy,cz,lpes,type
5507,5.053996,0.135398,8.588433,4.046924,10.135116,8.207070,1.127815,vertex
5508,4.634764,0.984213,1.741789,4.942154,0.900525,2.064900,0.453754,edge_plus
5509,0.497743,5.869766,1.552256,10.920261,6.091015,1.509704,0.559052,vertex
5510,2.617333,1.148649,3.383946,2.632853,1.430939,3.367891,0.283172,edge_plus
5511,5.777978,4.272488,6.367600,5.706098,3.724119,7.036674,0.868064,edge_plus
5512,2.972207,5.493681,3.616125,3.389776,5.510721,3.820206,0.465084,edge_plus
5513,8.677549,9.155940,4.337337,9.129948,9.315736,4.737674,0.671700,vertex
5514,9.709227,1.313465,5.527450,-0.314971,1.497614,5.274259,0.448056,vertex
5515,9.335664,4.184662,1.364447,9.369097,3.620831,1.755400,0.686926,edge_plus
5516,5.656867,8.064502,5.650278,5.338845,7.721695,5.771283,0.483008,interior_minus
5517,7.341509,3.409543,0.950972,7.750155,3.474863,1.071645,0.431069,edge_plus
5518,5.818180,7.716212,2.140151,6.112320,8.090432,2.000289,0.496105,edge_plus
5519,0.544796,6.774172,7.872754,0.533246,6.812261,7.816860,0.068617,interior_plus
5520,1.012670,9.239116,5.742616,1.010657,-0.940840,5.547657,0.265325,interior_plus
5521,3.353701,9.424556,6.046683,3.807950,9.272491,5.322073,0.868634,edge_minus
5522,5.730692,4.734536,7.730290,5.796429,4.131349,7.341704,0.720524,edge_minus
5523,4.433676,9.612861,1.092251,4.164936,-0.523377,1.587425,0.608840,vertex
5524,8.852340,2.019774,3.266655,8.619052,2.061153,3.250072,0.237509,edge_plus
5525,7.417602,2.179094,1.565510,7.327370,2.198291,1.639323,0.118147,interior_minus
5526,6.341143,8.828969,2.895453,6.428709,8.969397,2.394493,0.527588,interior_minus
5527,8.025733,9.237752,7.501527,8.139074,9.117972,7.460375,0.169962,interior_minus
5528,0.890053,7.482800,7.388725,11.153279,7.794270,6.947480,0.600832,interior_minus
5529,2.178634,8.537530,1.841166,2.472929,8.326495,2.237229,0.552823,vertex
5530,8.782424,2.071213,2.321959,8.609015,1.864283,2.471756,0.308756,edge_minus
5531,1.585982,1.904476,8.746848,1.850306,1.353395,8.681664,0.614660,edge_plus
5532,1.435574,7.153417,6.617457,1.470016,7.596965,6.670216,0.813473,vertex
5533,7.748987,7.347080,2.763081,7.958338,6.917602,2.921532,0.725142,vertex
5534,7.201526,8.319648,5.419987,7.094481,8.663880,5.129107,0.463213,edge_plus
5535,2.097305,7.035613,7.150511,1.892879,7.339207,6.959432,0.412880,interior_minus
5536,9.931197,7.338175,4.537625,-0.277053,7.625452,4.510159,0.508840,vertex
5537,0.419153,0.473419,7.712394,0.382295,0.635488,7.681925,0.168976,edge_minus
5538,6.746084,4.893285,6.513201,6.544071,5.188525,6.475042,0.359766,edge_minus
5539,9.629384,4.545018,7.831429,9.780151,4.650516,7.928238,0.207924,interior_minus
5540,6.804419,1.050029,4.333065,6.394517,0.820557,4.542150,0.514192,interior_plus
5541,8.962680,3.381488,4.895391,8.536891,3.155243,4.525139,0.669931,vertex
5542,0.659735,0.709680,7.842177,0.721621,0.821629,7.696910,0.193559,interior_plus
5543,6.824507,5.793426,4.228038,7.015461,5.910945,4.384904,0.273644,interior_minus
5544,2.253166,3.397929,4.030302,2.234757,3.455402,4.740845,0.713101,edge_plus
5545,8.574404,9.142071,3.042139,8.430822,-0.060865,3.267167,0.840575,edge_plus
5546,2.365894,3.997139,2.822120,2.429445,4.068706,2.768413,0.109749,interior_minus
5547,0.586433,6.976155,4.215136,0.350964,7.038188,4.262405,0.248048,edge_minus
5548,9.898277,7.981644,5.283420,10.113733,8.369440,5.214792,0.448906,interior_minus
5549,5.135519,9.483467,1.853806,5.589205,-0.368956,11.410615,0.651175,edge_plus
5550,1.490658,1.351068,7.463454,1.228464,1.354343,7.726614,0.398233,vertex
5551,3.972965,9.558356,7.554959,4.046924,10.135116,8.207070,1.127815,vertex
5552,8.053625,6.166532,4.072620,7.500503,6.514978,3.845643,0.692010,edge_minus
5553,3.630869,9.516035,4.713635,3.887893,-0.401325,5.022944,0.957691,vertex
5554,7.082433,1.828184,9.646972,7.132420,1.881976,9.745710,0.123050,interior_minus
5555,8.338665,7.257294,9.168639,8.306247,7.243651,9.168064,0.035177,interior_minus
5556,5.023284,9.270569,0.596060,4.604259,-0.564978,0.291368,0.543566,edge_plus
5557,4.969467,0.287707,8.693150,4.046924,10.135116,8.207070,1.127815,vertex
5558,2.310360,6.985577,4.596791,2.342644,6.709750,4.277125,0.496421,vertex
5559,3.443591,3.779962,6.821165,3.458333,4.064246,6.335797,0.562687,interior_plus
5560,6.181094,3.322823,7.033908,5.694151,3.688594,7.081073,0.892720,vertex
5561,5.710250,4.794542,9.937826,5.700420,4.794102,0.263257,0.325580,interior_plus
5562,2.159033,2.220884,4.647058,2.282541,2.805179,4.663946,0.597445,edge_minus
5563,5.394504,4.682639,2.798119,5.453387,4.519878,2.833950,0.176755,interior_minus
5564,5.812308,8.431574,1.509246,6.380295,8.808502,1.874484,0.776643,vertex
5565,3.922700,6.513669,9.140370,4.029481,6.673605,8.755124,0.430577,interior_plus
5566,5.429430,1.341795,4.975700,5.294987,0.552971,4.514099,1.042326,vertex
5567,2.388914,7.161291,7.241322,2.284368,7.326477,7.246299,0.195553,interior_plus
5568,1.253717,8.982891,2.204016,1.031605,8.800554,2.268798,0.294580,interior_plus
5569,5.875465,8.482089,4.444321,5.560775,8.882999,4.327099,0.549451,vertex
5570,6.636546,6.515979,3.922706,7.025503,6.548345,3.894667,0.391308,edge_minus
5571,5.904649,5.997399,0.433249,5.644732,6.632696,0.602790,0.707038,edge_minus
5572,9.507336,9.732213,8.404289,-0.453996,9.133713,8.485790,0.605261,edge_plus
5573,9.811783,2.546402,1.609097,-0.454529,3.088324,1.783156,0.628410,edge_minus
5574,6.410159,9.252284,2.052245,6.380295,8.808502,1.874484,0.776643,vertex
5575,5.960366,4.232998,3.298089,6.113779,4.103883,3.081553,0.474928,vertex
5576,5.433969,1.905152,9.600224,4.947104,1.812054,-0.545794,0.735305,vertex
5577,9.441582,3.622375,2.696540,9.447064,3.485571,1.968880,0.740429,edge_minus
5578,3.574464,3.854762,8.510299,3.520503,3.983624,8.646772,0.350166,vertex
5579,7.064012,8.453577,5.494161,7.089121,8.667134,5.129838,0.463848,vertex
5580,6.531216,6.411501,5.289303,6.563162,6.254115,5.634460,0.380689,interior_minus
5581,2.219582,7.977469,5.310499,2.672138,8.605583,5.393400,0.778593,edge_minus
5582,8.605301,7.713437,8.457205,9.289391,8.179045,8.161705,0.878686,edge_plus
5583,0.555787,2.157472,0.936488,0.746294,2.188177,0.935590,0.192968,interior_minus
5584,3.526610,1.787944,9.988040,3.530205,1.998069,10.215419,0.467389,vertex
5585,6.007693,4.781805,6.425005,5.835080,4.107655,6.557328,0.708366,edge_minus
5586,8.706669,4.232924,1.601792,9.000497,3.882566,1.410759,0.495559,edge_plus
5587,3.186529,9.572520,9.718210,3.323984,9.979755,-0.949086,0.793737,interior_minus
5588,4.678285,3.874623,6.669258,5.290308,3.630046,6.903154,0.699355,edge_plus
5589,2.927621,2.500949,5.135077,2.644924,2.589782,5.446188,0.429650,edge_minus
5590,1.065370,5.492869,1.523038,1.369364,5.031077,1.723390,0.592227,vertex
5591,2.737670,0.992369,3.192241,2.794771,0.972939,3.409090,0.225082,edge_minus
5592,5.276702,1.736674,3.643017,5.017379,1.133997,3.591574,0.658114,edge_plus
5593,1.066828,6.873222,6.437725,11.467930,7.546375,6.600627,0.800346,edge_minus
5594,9.965936,7.634458,5.418221,10.146145,7.944652,5.471871,0.362731,edge_minus
5595,8.150344,1.525837,5.095117,8.477356,1.458757,5.064309,0.335240,edge_plus
5596,2.207445,4.177899,2.398270,2.389904,4.121170,2.430750,0.193815,edge_plus
5597,9.804713,5.176183,9.078721,-0.038694,5.269682,-0.816327,0.359279,vertex
5598,9.002124,2.046581,6.944688,9.170057,2.712784,7.072531,0.698836,edge_plus
5599,9.063824,2.435227,6.544998,9.689647,2.861136,6.938875,0.853342,edge_minus
5600,8.930113,9.770180,9.010650,9.377911,9.947705,-0.952051,0.483145,interior_plus
5601,8.874750,2.808707,7.115896,9.725392,2.868148,7.004181,0.860003,edge_plus
5602,9.777389,7.463623,8.254299,9.459570,8.318214,8.338577,0.944329,vertex
5603,4.644980,7.169557,0.668512,4.642614,6.993935,0.809589,0.225281,interior_minus
5604,7.407670,8.291976,4.936636,7.155465,8.626859,5.120790,0.457893,edge_plus
5605,7.474200,5.751099,2.338921,7.806413,5.873856,2.986640,0.747919,vertex
5606,4.272783,9.492216,5.991851,4.062869,-0.491666,5.242917,0.949940,vertex
5607,6.503906,3.268122,3.582145,6.266271,3.376934,3.334856,0.359809,interior_minus
5608,7.051909,6.507005,4.965428,7.443275,6.267740,5.279134,0.555722,edge_plus
5609,8.160611,0.986467,4.688743,8.519198,1.074219,4.732749,0.371782,interior_minus
5610,0.958865,4.781051,1.899790,1.369364,5.031077,1.723390,0.592227,vertex
5611,1.968070,5.639713,2.156083,1.563712,5.515245,2.322714,0.593548,vertex
5612,1.902237,3.105471,8.908665,2.255085,3.118400,-1.128820,0.355069,edge_plus
5613,8.942883,5.352089,5.854652,9.205744,5.470969,5.886185,0.290212,edge_minus
5614,7.877469,4.887639,3.958275,7.922186,5.057049,3.679488,0.329274,interior_minus
5615,2.274719,3.992614,5.471266,3.055553,3.944039,5.680435,0.892378,vertex
